"week_start","AdGroup","Spend","Impressions","Clicks","Conversions","Revenue"
"2024-11-25 00:00:00.000 UTC","Air-Cairo-Exact","88.769042","627","47","3.989827","996.676418691"
"2024-11-25 00:00:00.000 UTC","Air-Flight-Exact","9.05","55","4","0.0","0.0"
"2024-11-25 00:00:00.000 UTC","Aircairo-Airline-Exact","4.443107","34","6","2.0","445.89703982"
"2024-11-25 00:00:00.000 UTC","Airline-Booking-Exact","2995.755875","4341","1369","122.372724","28261.374304289002"
"2024-11-25 00:00:00.000 UTC","Airline-Offers-Exact","39.940231","93","32","0.008972","16.174726214"
"2024-11-25 00:00:00.000 UTC","Airlines-Cheap-Exact","2.07","12","2","0.0","0.0"
"2024-11-25 00:00:00.000 UTC","Airlines-Exact","130.18906","894","109","3.275394","1639.444931925"
"2024-11-25 00:00:00.000 UTC","Book-Cheap-Flights-Exact","316.444609","431","158","14.644056","3679.87932931"
"2024-11-25 00:00:00.000 UTC","Book-Flight-Tickets-Exact","387.738646","435","180","11.155159","2532.661708562"
"2024-11-25 00:00:00.000 UTC","Book-Flights-Exact","12.38","19","6","1.46599","317.784211465"
"2024-11-25 00:00:00.000 UTC","Book-International-Exact","22.371729","63","15","0.987895","181.66446479200002"
"2024-11-25 00:00:00.000 UTC","Book-Tickets-Exact","27.028889","52","18","6.297505","1801.745226816"
"2024-11-25 00:00:00.000 UTC","Bookings-Exact","65.952617","184","35","3.812978","550.146838753"
"2024-11-25 00:00:00.000 UTC","Cheap-Flight-Tickets-Exact","12.450389","41","10","0.026918","7.843092754"
"2024-11-25 00:00:00.000 UTC","Cheapest-Airline-Booking-Exact","89.40107","161","44","1.005833","340.59458787700004"
"2024-11-25 00:00:00.000 UTC","Cheapest-Airline-Tickets-Exact","78.153209","81","30","3.838702","1532.551611373"
"2024-11-25 00:00:00.000 UTC","Cheapest-Airlines-Exact","139.014534","394","94","11.301938","2164.842992854"
"2024-11-25 00:00:00.000 UTC","Cheapest-Domestic-Airlines-Exact","22.987681","28","7","0.013459","2.25763706"
"2024-11-25 00:00:00.000 UTC","Cheapest-Flights-Exact","5.96","21","5","0.0","0.0"
"2024-11-25 00:00:00.000 UTC","Cheapest-Flights-Tickets-Exact","6.41","11","3","0.0","0.0"
"2024-11-25 00:00:00.000 UTC","Domestic-Airline-Booking-Exact","3.02","12","3","0.0","0.0"
"2024-11-25 00:00:00.000 UTC","Egyptair-Airlines-Booking-Exact","20.763577","187","26","0.990786","123.677700608"
"2024-11-25 00:00:00.000 UTC","Egyptair-Exact","84.744935","2082","76","5.029285","2711.677912079"
"2024-11-25 00:00:00.000 UTC","Flight-Booking-Exact","3.06","8","2","0.5","41.173652057"
"2024-11-25 00:00:00.000 UTC","Flight-Tickets-Exact","159.963982","517","132","7.889386","1061.3557088920002"
"2024-11-25 00:00:00.000 UTC","Flights-Exact","30.502119","274","27","3.0","1122.638987975"
"2024-11-25 00:00:00.000 UTC","Google-Flights-Exact","46.339492","336","18","3.923484","907.078059331"
"2024-11-25 00:00:00.000 UTC","Nile-Air-Booking-Exact","1.85","20","2","1.0","277.396084277"
"2024-11-25 00:00:00.000 UTC","Nile-Air-Exact","41.068779","623","35","1.999474","262.88182300799997"
"2024-11-25 00:00:00.000 UTC","Saudia-Airline-Exact","17.76","714","29","1.0","85.745794193"
"2024-11-25 00:00:00.000 UTC","Saudia-Airlines-Exact","203.210468","6876","146","11.340729","5346.4476672420005"
"2024-11-25 00:00:00.000 UTC","Saudia-Booking-Exact","30.023975","382","20","1.7752189999999999","1152.7571955849999"
"2024-11-25 00:00:00.000 UTC","Ticket-Flight-Prices-Exact","0.65","13","2","1.954654","529.564374141"
"2024-11-25 00:00:00.000 UTC","Tickets-Exact","27.73","54","15","1.968209","212.789154936"
"2024-11-25 00:00:00.000 UTC","Yamsafer-Mispells-Exact","2.05","9","5","3.0","337.723880117"
"2024-12-02 00:00:00.000 UTC","Air-Cairo-Exact","229.131805","1930","139","8.144479","1566.183781835"
"2024-12-02 00:00:00.000 UTC","Air-Flight-Exact","58.183786","209","34","4.730924","1009.459667371"
"2024-12-02 00:00:00.000 UTC","Aircairo-Airline-Exact","7.71","120","12","0.0","1.931982105"
